,rf_over,year,proj_site
0,2837.0,2016.0,proj_2_5
1,2321.0,2017.0,proj_2_5
2,6175.0,2018.0,proj_2_5
3,2799.0,2019.0,proj_2_5
4,5668.0,2020.0,proj_2_5
5,4912.0,2021.0,proj_2_5
0,109.0,2016.0,proj_2_6
1,12.0,2017.0,proj_2_6
2,14.0,2018.0,proj_2_6
3,46.0,2019.0,proj_2_6
4,234.0,2020.0,proj_2_6
5,244.0,2021.0,proj_2_6
0,126.0,2016.0,proj_2_8
1,150.0,2017.0,proj_2_8
2,116.0,2018.0,proj_2_8
3,113.0,2019.0,proj_2_8
4,140.0,2020.0,proj_2_8
5,445.0,2021.0,proj_2_8
0,485.0,2016.0,proj_2_10
1,629.0,2017.0,proj_2_10
2,601.0,2018.0,proj_2_10
3,583.0,2019.0,proj_2_10
4,581.0,2020.0,proj_2_10
5,3664.0,2021.0,proj_2_10
0,114.0,2016.0,proj_2_11
1,134.0,2017.0,proj_2_11
2,107.0,2018.0,proj_2_11
3,119.0,2019.0,proj_2_11
4,115.0,2020.0,proj_2_11
5,717.0,2021.0,proj_2_11
0,4381.0,2016.0,proj_2_12
1,4609.0,2017.0,proj_2_12
2,4370.0,2018.0,proj_2_12
3,4918.0,2019.0,proj_2_12
4,4807.0,2020.0,proj_2_12
5,8452.0,2021.0,proj_2_12
0,1662.0,2016.0,proj_2_13
1,1313.0,2017.0,proj_2_13
2,1479.0,2018.0,proj_2_13
3,1795.0,2019.0,proj_2_13
4,1933.0,2020.0,proj_2_13
5,3006.0,2021.0,proj_2_13
0,73.0,2016.0,proj_2_14
1,36.0,2017.0,proj_2_14
2,104.0,2018.0,proj_2_14
3,61.0,2019.0,proj_2_14
4,200.0,2020.0,proj_2_14
5,826.0,2021.0,proj_2_14
0,74.0,2016.0,proj_2_15
1,484.0,2017.0,proj_2_15
2,67.0,2018.0,proj_2_15
3,112.0,2019.0,proj_2_15
4,105.0,2020.0,proj_2_15
5,273.0,2021.0,proj_2_15
0,62.0,2016.0,proj_2_16
1,1629.0,2017.0,proj_2_16
2,5.0,2018.0,proj_2_16
3,16.0,2019.0,proj_2_16
4,31.0,2020.0,proj_2_16
5,116.0,2021.0,proj_2_16
0,2494.0,2016.0,proj_2_18
1,2424.0,2017.0,proj_2_18
2,2256.0,2018.0,proj_2_18
3,2986.0,2019.0,proj_2_18
4,2874.0,2020.0,proj_2_18
5,5143.0,2021.0,proj_2_18
0,172.0,2016.0,proj_2_19
1,118.0,2017.0,proj_2_19
2,260.0,2018.0,proj_2_19
3,180.0,2019.0,proj_2_19
4,248.0,2020.0,proj_2_19
5,2012.0,2021.0,proj_2_19
0,280.0,2016.0,proj_2_20
1,385.0,2017.0,proj_2_20
2,511.0,2018.0,proj_2_20
3,432.0,2019.0,proj_2_20
4,492.0,2020.0,proj_2_20
5,1829.0,2021.0,proj_2_20
0,1074.0,2016.0,proj_2_21
1,1166.0,2017.0,proj_2_21
2,1115.0,2018.0,proj_2_21
3,1246.0,2019.0,proj_2_21
4,1612.0,2020.0,proj_2_21
5,2945.0,2021.0,proj_2_21
0,1318.0,2016.0,proj_2_22
1,1355.0,2017.0,proj_2_22
2,1191.0,2018.0,proj_2_22
3,1503.0,2019.0,proj_2_22
4,2373.0,2020.0,proj_2_22
5,3976.0,2021.0,proj_2_22
0,592.0,2016.0,proj_2_23
1,580.0,2017.0,proj_2_23
2,632.0,2018.0,proj_2_23
3,661.0,2019.0,proj_2_23
4,855.0,2020.0,proj_2_23
5,1313.0,2021.0,proj_2_23
0,1743.0,2016.0,proj_2_24
1,1839.0,2017.0,proj_2_24
2,1989.0,2019.0,proj_2_24
3,2054.0,2020.0,proj_2_24
4,5730.0,2021.0,proj_2_24
0,104.0,2016.0,proj_2_25
1,71.0,2017.0,proj_2_25
2,89.0,2018.0,proj_2_25
3,100.0,2019.0,proj_2_25
4,139.0,2020.0,proj_2_25
5,724.0,2021.0,proj_2_25
0,89.0,2016.0,proj_2_26
1,57.0,2017.0,proj_2_26
2,57.0,2018.0,proj_2_26
3,59.0,2019.0,proj_2_26
4,148.0,2020.0,proj_2_26
5,872.0,2021.0,proj_2_26
0,408.0,2016.0,proj_2_27
1,324.0,2017.0,proj_2_27
2,342.0,2018.0,proj_2_27
3,418.0,2019.0,proj_2_27
4,516.0,2020.0,proj_2_27
5,1658.0,2021.0,proj_2_27
0,10.0,2016.0,proj_2_28
1,8.0,2017.0,proj_2_28
2,18.0,2018.0,proj_2_28
3,8.0,2019.0,proj_2_28
4,17.0,2020.0,proj_2_28
5,133.0,2021.0,proj_2_28
0,26.0,2016.0,proj_4_8
1,32.0,2017.0,proj_4_8
2,53.0,2018.0,proj_4_8
3,24.0,2019.0,proj_4_8
4,47.0,2020.0,proj_4_8
5,386.0,2021.0,proj_4_8
0,24.0,2016.0,proj_4_9
1,23.0,2017.0,proj_4_9
2,26.0,2018.0,proj_4_9
3,27.0,2019.0,proj_4_9
4,1059.0,2020.0,proj_4_9
5,378.0,2021.0,proj_4_9
0,0.0,2018.0,proj_4_13
1,0.0,2019.0,proj_4_13
2,0.0,2020.0,proj_4_13
3,62.0,2021.0,proj_4_13
0,623.0,2016.0,proj_7_2
1,678.0,2017.0,proj_7_2
2,722.0,2018.0,proj_7_2
3,621.0,2019.0,proj_7_2
4,793.0,2020.0,proj_7_2
5,3465.0,2021.0,proj_7_2
0,595.0,2016.0,proj_7_3
1,573.0,2017.0,proj_7_3
2,714.0,2018.0,proj_7_3
3,599.0,2019.0,proj_7_3
4,3463.0,2020.0,proj_7_3
5,1960.0,2021.0,proj_7_3
0,754.0,2016.0,proj_7_4
1,754.0,2017.0,proj_7_4
2,732.0,2018.0,proj_7_4
3,3468.0,2021.0,proj_7_4
0,378.0,2016.0,proj_7_6
1,435.0,2017.0,proj_7_6
2,509.0,2018.0,proj_7_6
3,474.0,2019.0,proj_7_6
4,933.0,2021.0,proj_7_6
0,23.0,2017.0,proj_7_7
1,16.0,2018.0,proj_7_7
2,13.0,2019.0,proj_7_7
3,165.0,2021.0,proj_7_7
0,459.0,2016.0,proj_7_10
1,347.0,2017.0,proj_7_10
2,419.0,2018.0,proj_7_10
3,261.0,2019.0,proj_7_10
4,514.0,2020.0,proj_7_10
5,1536.0,2021.0,proj_7_10
0,599.0,2017.0,proj_7_12
1,263.0,2018.0,proj_7_12
2,352.0,2019.0,proj_7_12
3,7813.0,2020.0,proj_7_12
4,1685.0,2021.0,proj_7_12
0,951.0,2016.0,proj_7_13
1,489.0,2017.0,proj_7_13
2,611.0,2019.0,proj_7_13
3,471.0,2020.0,proj_7_13
4,3477.0,2021.0,proj_7_13
0,752.0,2016.0,proj_7_14
1,535.0,2017.0,proj_7_14
2,605.0,2018.0,proj_7_14
3,574.0,2019.0,proj_7_14
4,767.0,2020.0,proj_7_14
5,1796.0,2021.0,proj_7_14
0,301.0,2016.0,proj_7_15
1,349.0,2017.0,proj_7_15
2,248.0,2018.0,proj_7_15
3,212.0,2019.0,proj_7_15
4,6536.0,2020.0,proj_7_15
5,1505.0,2021.0,proj_7_15
0,52.0,2016.0,proj_10_1
1,45.0,2018.0,proj_10_1
2,50.0,2019.0,proj_10_1
3,64.0,2020.0,proj_10_1
4,334.0,2021.0,proj_10_1
0,24.0,2016.0,proj_10_2
1,23.0,2017.0,proj_10_2
2,26.0,2018.0,proj_10_2
3,27.0,2019.0,proj_10_2
4,1059.0,2020.0,proj_10_2
5,378.0,2021.0,proj_10_2
0,4253.0,2017.0,proj_10_3
1,9.0,2019.0,proj_10_3
2,27.0,2020.0,proj_10_3
3,117.0,2021.0,proj_10_3
0,4.0,2016.0,proj_13_10
1,4.0,2017.0,proj_13_10
2,4.0,2019.0,proj_13_10
3,671.0,2020.0,proj_13_10
4,128.0,2021.0,proj_13_10
0,6.0,2016.0,proj_16_3
1,6.0,2017.0,proj_16_3
2,15.0,2018.0,proj_16_3
3,14.0,2019.0,proj_16_3
4,20.0,2020.0,proj_16_3
5,83.0,2021.0,proj_16_3
